Symbol,Name,Date,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,"Sales, General and Admin.",Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
LIN,Linde plc Ordinary Shares (LIN),31/12/2021,30793000,17543000,13250000,143000,3488000,0,4635000,4984000,192000,5176000,77000,5099000,1262000,119000,-135000,3821000,3826000,3826000
LIN,Linde plc Ordinary Shares (LIN),31/12/2020,27243000,15383000,11860000,152000,3760000,0,4626000,3322000,177000,3499000,115000,3384000,847000,85000,-125000,2497000,2501000,2501000
LIN,Linde plc Ordinary Shares (LIN),31/12/2019,28228000,16644000,11584000,184000,3956000,0,4675000,2933000,196000,3129000,38000,3091000,769000,114000,-96000,2340000,2285000,2285000
FERG,Ferguson plc Ordinary Shares (FERG),31/07/2022,28566000,19810000,8756000,0,5635000,0,301000,2820000,-1000,2819000,111000,2708000,609000,0,0,2099000,2122000,2122000
FERG,Ferguson plc Ordinary Shares (FERG),31/07/2021,22792000,15812000,6980000,0,4732000,0,298000,1950000,10000,1960000,98000,1862000,232000,0,0,1630000,1472000,1472000
FERG,Ferguson plc Ordinary Shares (FERG),31/07/2020,19940000,13957000,5983000,0,4329000,0,282000,1372000,-7000,1365000,93000,1272000,299000,0,0,973000,961000,961000
DLB,Dolby Laboratories Common Stock (DLB),30/09/2022,1253793,141360,1112433,261174,634031,10623,0,206605,9068,215673,394,215279,31381,0,189,184087,184087,184087
DLB,Dolby Laboratories Common Stock (DLB),24/09/2021,1281256,130025,1151231,253640,556832,10240,0,344390,24472,354991,479,354512,36689,0,-7596,310227,310227,310227
DLB,Dolby Laboratories Common Stock (DLB),25/09/2020,1161792,146498,1015294,239045,555686,1821,0,218742,21159,239901,186,239715,8096,0,-256,231363,231363,231363
DLB,Dolby Laboratories Common Stock (DLB),27/09/2019,1241620,160854,1080766,237871,549260,36558,0,257077,25400,282477,170,282307,26802,0,-354,255151,255151,255151
CAE,CAE Inc. Ordinary Shares (CAE),31/03/2023,3105800,2244100,861800,105700,397700,47500,0,350200,0,350200,131300,218900,47600,39300,0,210700,171400,171400
CAE,CAE Inc. Ordinary Shares (CAE),31/03/2022,2699100,1934100,765000,96700,362000,117600,0,227500,0,227600,104600,123000,2900,38800,0,158900,120100,120100
CAE,CAE Inc. Ordinary Shares (CAE),31/03/2021,2372500,1763900,608700,83300,390400,98700,0,38500,0,38500,107900,-69400,-31600,2100,0,-35600,-37800,-37800
CAE,CAE Inc. Ordinary Shares (CAE),31/03/2020,2545500,1784200,761300,96600,295600,11100,0,377300,0,377400,101500,275900,51800,19300,0,243400,224000,224000
PLD,"Prologis, Inc. Common Stock (PLD)",31/12/2022,5973692,1205738,4767954,0,674775,0,1812777,2280402,1408573,3999847,309037,3690810,135412,310872,-190542,3655544,3364856,3358796
PLD,"Prologis, Inc. Common Stock (PLD)",31/12/2021,4759440,1041316,3718124,0,522773,0,1577942,1617409,1567412,3589076,266228,3322848,174258,404255,-208867,3156525,2939723,2933571
PLD,"Prologis, Inc. Common Stock (PLD)",31/12/2020,4438735,952063,3486672,0,522896,0,1561969,1401807,362418,2061595,314507,1747088,130458,297370,-134816,1590894,1481814,1473122
PLD,"Prologis, Inc. Common Stock (PLD)",31/12/2019,3330621,734266,2596355,0,464528,0,1139879,991948,824190,2016316,239953,1776363,74517,200178,-128887,1757011,1572959,1566950
AMT,American Tower Corporation (REIT) Common Stock (AMT),31/12/2022,10711100,3263800,7447300,0,1739900,0,3355100,2352300,504900,2857200,1136500,1720700,24000,0,69100,1765800,1765800,1765800
AMT,American Tower Corporation (REIT) Common Stock (AMT),31/12/2021,9356900,2682000,6674900,0,1210300,0,2332600,3132000,568300,3700300,870900,2829400,261800,0,100,2567700,2567700,2567700
AMT,American Tower Corporation (REIT) Common Stock (AMT),31/12/2020,8041500,2227200,5814300,0,1044500,0,1882300,2887500,-272900,2614600,793500,1821100,129600,0,-900,1690600,1690600,1690600
AMT,American Tower Corporation (REIT) Common Stock (AMT),31/12/2019,7580300,2216800,5363500,0,896700,0,1778400,2688400,42200,2730600,814200,1916400,-200,0,-28800,1887800,1887800,1887800
EQIX,"Equinix, Inc. Common Stock REIT (EQIX)",31/12/2022,7263105,3751501,3511604,0,2307100,0,0,1200528,-18798,1185706,356337,829369,124792,0,-232,704345,704345,704345
EQIX,"Equinix, Inc. Common Stock REIT (EQIX)",31/12/2021,6635537,3472422,3163115,0,2065798,0,0,1108162,-152283,945034,336082,608952,109224,0,463,500191,500191,500191
EQIX,"Equinix, Inc. Common Stock REIT (EQIX)",31/12/2020,5998545,3074340,2924205,0,1865272,7306,0,1052928,-128936,922691,406466,516225,146151,0,-297,369777,369777,369777
EQIX,"Equinix, Inc. Common Stock REIT (EQIX)",31/12/2019,5562140,2810184,2751956,0,1610845,15790,0,1169631,46960,1172281,479684,692597,185352,0,205,507450,507450,507450
AAPL,Apple Inc. Common Stock (AAPL),24/09/2022,394328000,223546000,170782000,26251000,25094000,0,0,119437000,-334000,119103000,0,119103000,19300000,0,0,99803000,99803000,99803000
AAPL,Apple Inc. Common Stock (AAPL),25/09/2021,365817000,212981000,152836000,21914000,21973000,0,0,108949000,258000,109207000,0,109207000,14527000,0,0,94680000,94680000,94680000
AAPL,Apple Inc. Common Stock (AAPL),26/09/2020,274515000,169559000,104956000,18752000,19916000,0,0,66288000,803000,67091000,0,67091000,9680000,0,0,57411000,57411000,57411000
AAPL,Apple Inc. Common Stock (AAPL),28/09/2019,260174000,161782000,98392000,16217000,18245000,0,0,63930000,1807000,65737000,0,65737000,10481000,0,0,55256000,55256000,55256000
MSFT,Microsoft Corporation Common Stock (MSFT),30/06/2023,211915000,65863000,146052000,27195000,30334000,0,0,88523000,788000,89311000,0,89311000,16950000,0,0,72361000,72361000,72361000
MSFT,Microsoft Corporation Common Stock (MSFT),30/06/2022,198270000,62650000,135620000,24512000,27725000,0,0,83383000,333000,83716000,0,83716000,10978000,0,0,72738000,72738000,72738000
MSFT,Microsoft Corporation Common Stock (MSFT),30/06/2021,168088000,52232000,115856000,20716000,25224000,0,0,69916000,1186000,71102000,0,71102000,9831000,0,0,61271000,61271000,61271000
MSFT,Microsoft Corporation Common Stock (MSFT),30/06/2020,143015000,46078000,96937000,19269000,24709000,0,0,52959000,77000,53036000,0,53036000,8755000,0,0,44281000,44281000,44281000
GOOG,Alphabet Inc. Class C Capital Stock (GOOG),31/12/2022,282836000,126203000,156633000,39500000,42291000,0,0,74842000,-3514000,71328000,0,71328000,11356000,0,0,59972000,59972000,59972000
GOOG,Alphabet Inc. Class C Capital Stock (GOOG),31/12/2021,257637000,110939000,146698000,31562000,36422000,0,0,78714000,12020000,90734000,0,90734000,14701000,0,0,76033000,76033000,76033000
GOOG,Alphabet Inc. Class C Capital Stock (GOOG),31/12/2020,182527000,84732000,97795000,27573000,28998000,0,0,41224000,6858000,48082000,0,48082000,7813000,0,0,40269000,40269000,40269000
GOOG,Alphabet Inc. Class C Capital Stock (GOOG),31/12/2019,161857000,71896000,89961000,26018000,29712000,0,0,34231000,5394000,39625000,0,39625000,5282000,0,0,34343000,34343000,34343000
CSCO,"Cisco Systems, Inc. Common Stock (DE) (CSCO)",29/07/2023,56998000,21245000,35753000,7551000,12358000,531000,282000,15031000,714000,15745000,427000,15318000,2705000,0,0,12613000,12613000,12613000
CSCO,"Cisco Systems, Inc. Common Stock (DE) (CSCO)",30/07/2022,51557000,19309000,32248000,6774000,11186000,6000,313000,13969000,868000,14837000,360000,14477000,2665000,0,0,11812000,11812000,11812000
CSCO,"Cisco Systems, Inc. Common Stock (DE) (CSCO)",31/07/2021,49818000,17924000,31894000,6549000,11411000,886000,215000,12833000,863000,13696000,434000,13262000,2671000,0,0,10591000,10591000,10591000
CSCO,"Cisco Systems, Inc. Common Stock (DE) (CSCO)",25/07/2020,49301000,17618000,31683000,6347000,11094000,481000,141000,13620000,935000,14555000,585000,13970000,2756000,0,0,11214000,11214000,11214000
CMCSA,Comcast Corporation Class A Common Stock (CMCSA),31/12/2022,121427000,38213000,83214000,0,46769000,8583000,13821000,14041000,-861000,13180000,3896000,9284000,4359000,0,445000,5370000,5370000,5370000
CMCSA,Comcast Corporation Class A Common Stock (CMCSA),31/12/2021,116385000,38450000,77935000,0,43314000,0,13804000,20817000,2557000,23374000,4281000,19093000,5259000,0,325000,14159000,14159000,14159000
