,Unnamed: 0,Symbol,Name,Date,Current Assets,Cash and Cash Equivalents,Short-Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long-Term Assets,Long-Term Investments,Fixed Assets,Goodwill,Intangible Assets,Other Assets,Deferred Asset Charges,Total Assets,Current Liabilities,Accounts Payable,Short-Term Debt / Current Portion of Long-Term Debt,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Other Liabilities,Deferred Liability Charges,Misc. Stocks,Minority Interest,Total Liabilities,Stock Holders Equity,Common Stocks,Capital Surplus,Retained Earnings,Treasury Stock,Other Equity,Total Equity,Total Liabilities & Equity
55,31,jpm,JP Morgan Chase & Co. Common Stock (JPM),12/31/2019,,"$512,788,000",--,"$72,861,000",--,--,--,,"$1,892,181,000","$25,813,000",--,"$53,341,000","$130,395,000",--,"$2,687,379,000",,"$210,407,000","$224,595,000","$1,562,431,000",--,"$410,775,000",--,--,"$17,841,000",--,"$2,426,049,000",,"$4,105,000","$223,211,000","-$83,049,000","$88,522,000","$1,548,000","$261,330,000","$2,687,379,000"
56,32,bac,Bank of America Corporation Common Stock (BAC),12/31/2022,,"$1,656,704,000","$7,259,000","$67,543,000",--,--,--,,"$2,247,505,000","$11,510,000","$69,022,000",--,"$150,759,000",--,"$3,051,375,000",,"$224,073,000","$222,567,000","$1,930,341,000",--,"$125,215,000",--,--,--,--,"$2,778,178,000",,"$58,953,000","$207,003,000",--,--,"-$21,156,000","$273,197,000","$3,051,375,000"
57,33,bac,Bank of America Corporation Common Stock (BAC),12/31/2021,,"$1,828,648,000","$7,144,000","$72,263,000",--,--,--,,"$2,247,423,000","$10,833,000","$69,022,000",--,"$163,869,000",--,"$3,169,495,000",,"$200,419,000","$216,082,000","$2,064,446,000",--,"$138,365,000",--,--,--,--,"$2,899,429,000",,"$62,398,000","$188,064,000",--,--,"-$5,104,000","$270,066,000","$3,169,495,000"
58,34,bac,Bank of America Corporation Common Stock (BAC),12/31/2020,,"$1,568,225,000","$6,546,000","$64,221,000",--,--,--,,"$1,849,185,000","$11,000,000","$68,951,000",--,"$135,203,000",--,"$2,819,627,000",,"$181,799,000","$189,644,000","$1,795,480,000",--,"$116,846,000",--,--,--,--,"$2,546,703,000",,"$85,982,000","$164,088,000",--,--,"-$1,656,000","$272,924,000","$2,819,627,000"
59,35,bac,Bank of America Corporation Common Stock (BAC),12/31/2019,,"$1,138,180,000","$7,107,000","$55,937,000",--,--,--,,"$1,725,676,000","$10,561,000","$68,951,000",--,"$129,690,000",--,"$2,434,079,000",,"$182,798,000","$189,313,000","$1,434,803,000",--,"$121,499,000",--,--,--,--,"$2,169,269,000",,"$91,723,000","$156,319,000",--,--,"-$6,633,000","$264,810,000","$2,434,079,000"
60,36,lly,Eli Lilly and Company Common Stock (LLY),12/31/2022,,"$2,067,000","$144,800","$8,558,900","$4,309,700","$2,954,100","$18,034,500",,"$2,901,800","$10,144,000","$4,073,000","$7,206,600","$4,337,000","$2,792,900","$49,489,800",,"$4,482,700","$1,501,100","$11,154,400","$17,138,200","$14,737,500","$6,751,400","$87,300","$125,600",--,"$38,714,400",,"$594,100","$10,042,600","-$50,500","$6,921,400","-$6,857,800","$10,649,800","$49,489,800"
61,37,lly,Eli Lilly and Company Common Stock (LLY),12/31/2021,,"$3,818,500","$90,100","$8,127,200","$3,886,000","$2,530,600","$18,452,400",,"$3,212,600","$8,985,100","$3,892,000","$7,691,900","$4,082,700","$2,489,300","$48,806,000",,"$3,641,100","$1,538,300","$9,873,300","$15,052,700","$15,346,400","$7,518,400","$1,733,700","$175,600",--,"$39,651,200",,"$596,300","$8,958,500","-$52,700","$6,833,400","-$7,356,300","$8,979,200","$48,806,000"
62,38,lly,Eli Lilly and Company Common Stock (LLY),12/31/2020,,"$3,657,100","$24,200","$6,929,000","$3,980,300","$2,871,500","$17,462,100",,"$2,966,800","$8,681,900","$3,766,500","$7,450,000","$3,475,400","$2,830,400","$46,633,100",,"$3,869,600","$8,700","$8,603,300","$12,481,600","$16,586,600","$9,639,800","$2,099,900","$183,600",--,"$40,807,900",,"$598,200","$7,830,200","-$55,700","$6,778,500","-$9,509,600","$5,641,600","$46,633,100"
63,39,lly,Eli Lilly and Company Common Stock (LLY),12/31/2019,,"$2,337,500","$101,000","$5,541,500","$3,190,700","$2,538,900","$13,709,600",,"$1,962,400","$7,872,900","$3,679,400","$6,618,000","$2,871,200","$2,572,600","$39,286,100",,"$3,152,900","$1,499,300","$7,123,000","$11,775,200","$13,817,900","$8,806,400","$2,187,500","$92,200",--,"$36,587,000",,"$598,800","$4,920,400","-$60,800","$6,685,300","-$9,536,800","$2,606,900","$39,286,100"
64,40,unh,UnitedHealth Group Incorporated Common Stock (DE) (UNH),12/31/2022,,"$23,365,000","$4,546,000","$30,450,000",--,--,--,,"$43,728,000","$10,128,000","$93,352,000","$14,401,000","$25,735,000",--,"$245,705,000",,"$56,771,000","$3,110,000",--,--,"$57,623,000","$39,120,000","$5,844,000","$3,678,000","$4,897,000","$163,036,000",,"$9,000","$86,156,000",--,--,"-$8,393,000","$77,772,000","$245,705,000"
65,41,unh,UnitedHealth Group Incorporated Common Stock (DE) (UNH),12/31/2021,,"$21,375,000","$2,532,000","$28,082,000",--,--,--,,"$43,114,000","$8,969,000","$75,795,000","$10,044,000","$22,295,000",--,"$212,206,000",,"$49,126,000","$3,620,000",--,--,"$46,003,000","$34,762,000","$5,836,000","$3,285,000","$1,434,000","$139,012,000",,"$10,000","$77,134,000",--,--,"-$5,384,000","$71,760,000","$212,206,000"
66,42,unh,UnitedHealth Group Incorporated Common Stock (DE) (UNH),12/31/2020,,"$16,921,000","$2,860,000","$25,404,000",--,--,--,,"$41,242,000","$8,626,000","$71,337,000","$10,856,000","$20,043,000",--,"$197,289,000",,"$44,367,000","$4,819,000",--,--,"$43,467,000","$32,707,000","$6,209,000","$2,837,000","$2,211,000","$129,587,000",,"$10,000","$69,295,000",--,--,"-$3,814,000","$65,491,000","$197,289,000"
67,43,unh,UnitedHealth Group Incorporated Common Stock (DE) (UNH),12/31/2019,,"$10,985,000","$3,260,000","$21,462,000",--,--,--,,"$37,209,000","$8,704,000","$65,659,000","$10,349,000","$16,261,000",--,"$173,889,000",,"$40,695,000","$3,870,000",--,--,"$40,678,000","$24,739,000","$5,615,000","$2,820,000","$1,726,000","$114,547,000",,"$9,000","$61,178,000",--,"$7,000","-$3,578,000","$57,616,000","$173,889,000"
68,44,nvo,Novo Nordisk A/S Common Stock (NVO),12/31/2022,,"$2,598,000","$1,567,000","$8,253,000","$3,500,000",--,"$15,528,000",,"$77,000","$9,568,000",--,"$7,379,000","$146,000","$1,927,000","$34,624,000",,"$3,255,000","$627,000","$13,475,000","$17,357,000","$3,490,000","$782,000","$1,013,000",--,--,"$22,643,000",,"$65,000","$11,566,000","-$1,000",--,"$351,000","$11,982,000","$34,624,000"
69,45,nvo,Novo Nordisk A/S Common Stock (NVO),12/31/2021,,"$2,155,000","$1,034,000","$7,156,000","$3,000,000",--,"$13,087,000",,"$121,000","$8,465,000",--,"$6,601,000","$140,000","$1,326,000","$29,740,000",,"$1,915,000","$2,426,000","$10,874,000","$15,216,000","$1,982,000","$920,000","$806,000",--,--,"$18,923,000",,"$71,000","$11,009,000","-$1,000",--,"-$262,000","$10,817,000","$29,740,000"
70,46,nvo,Novo Nordisk A/S Common Stock (NVO),12/31/2020,,"$2,863,000",--,"$5,290,000","$3,047,000",--,"$10,818,000",,"$207,000","$8,263,000",--,"$3,396,000","$175,000","$964,000","$23,822,000",,"$1,583,000","$1,450,000","$8,518,000","$11,551,000","$476,000","$974,000","$411,000",--,--,"$13,413,000",,"$77,000","$10,483,000","-$1,000",--,"-$150,000","$10,409,000","$23,822,000"
71,47,nvo,Novo Nordisk A/S Common Stock (NVO),12/31/2017,,"$3,784,000",--,"$3,798,000","$2,479,000",--,"$9,690,000",,"$126,000","$5,685,000",--,"$536,000","$158,000","$313,000","$16,508,000",,"$1,589,000","$323,000","$5,677,000","$7,589,000",--,"$748,000","$136,000",--,--,"$8,474,000",,"$81,000","$7,899,000","-$2,000",--,"$56,000","$8,034,000","$16,508,000"
72,48,tmo,Thermo Fisher Scientific Inc Common Stock (TMO),12/31/2022,,"$8,524,000",--,"$8,115,000","$5,634,000","$2,956,000","$25,229,000",,--,"$9,280,000","$41,196,000","$17,442,000","$4,007,000",--,"$97,154,000",,"$8,830,000","$5,579,000","$2,601,000","$17,010,000","$28,909,000","$4,238,000","$2,849,000","$54,000","$116,000","$53,060,000",,--,"$41,910,000","-$12,017,000","$16,743,000","-$3,099,000","$43,978,000","$97,154,000"
73,49,tmo,Thermo Fisher Scientific Inc Common Stock (TMO),12/31/2021,,"$4,477,000",--,"$7,977,000","$5,051,000","$2,608,000","$20,113,000",,--,"$8,333,000","$41,924,000","$20,113,000","$4,640,000",--,"$95,123,000",,"$8,244,000","$2,537,000","$2,655,000","$13,436,000","$32,333,000","$4,540,000","$3,837,000","$62,000","$122,000","$54,208,000",,--,"$35,431,000","-$8,922,000","$16,174,000","-$2,329,000","$40,793,000","$95,123,000"
74,50,tmo,Thermo Fisher Scientific Inc Common Stock (TMO),12/31/2020,,"$10,325,000",--,"$5,741,000","$4,029,000","$1,862,000","$21,957,000",,--,"$5,912,000","$26,041,000","$12,685,000","$2,457,000",--,"$69,052,000",,"$6,405,000","$2,628,000","$1,271,000","$10,304,000","$19,107,000","$3,330,000","$1,794,000","$10,000",--,"$34,545,000",,--,"$28,116,000","-$6,818,000","$15,579,000","-$2,807,000","$34,507,000","$69,052,000"
75,51,tmo,Thermo Fisher Scientific Inc Common Stock (TMO),12/31/2019,,"$2,399,000",--,"$4,349,000","$3,370,000","$1,775,000","$11,893,000",,--,"$4,749,000","$25,714,000","$14,014,000","$2,011,000",--,"$58,381,000",,"$4,605,000","$676,000","$916,000","$6,197,000","$17,076,000","$3,241,000","$2,192,000",--,--,"$28,706,000",,"$434,000","$22,092,000","-$5,236,000","$15,064,000","-$2,679,000","$29,675,000","$58,381,000"
76,52,dhr,Danaher Corporation Common Stock (DHR),12/31/2022,,"$5,995,000",--,"$4,918,000","$3,110,000","$1,860,000","$15,883,000",,--,"$3,956,000","$39,752,000","$20,300,000","$4,459,000",--,"$84,350,000",,"$7,798,000","$591,000",--,"$8,389,000","$19,086,000","$6,785,000",--,"$8,000",--,"$34,268,000",,"$9,000","$39,205,000",--,"$12,072,000","-$2,872,000","$50,082,000","$84,350,000"
77,53,dhr,Danaher Corporation Common Stock (DHR),12/31/2021,,"$2,586,000",--,"$4,631,000","$2,767,000","$1,664,000","$11,648,000",,--,"$3,790,000","$41,184,000","$22,843,000","$3,719,000",--,"$83,184,000",,"$8,132,000","$8,000",--,"$8,140,000","$22,168,000","$7,699,000",--,"$10,000",--,"$38,017,000",,"$9,000","$32,827,000",--,"$10,090,000","-$1,027,000","$45,167,000","$83,184,000"
78,54,dhr,Danaher Corporation Common Stock (DHR),12/31/2020,,"$6,035,000",--,"$4,045,000","$2,292,000","$1,430,000","$13,802,000",,--,"$3,262,000","$35,420,000","$21,282,000","$2,395,000",--,"$76,161,000",,"$7,391,000","$11,000",--,"$7,402,000","$21,193,000","$7,789,000",--,"$11,000",--,"$36,395,000",,"$9,000","$27,159,000",--,"$9,698,000","-$368,000","$39,766,000","$76,161,000"
79,55,dhr,Danaher Corporation Common Stock (DHR),12/31/2019,,"$19,912,000",--,"$3,191,000","$1,628,000","$865,000","$25,596,000",,--,"$2,302,000","$22,713,000","$9,750,000","$1,721,000",--,"$62,082,000",,"$4,720,000","$212,000",--,"$4,932,000","$21,517,000","$5,351,000",--,"$11,000",--,"$31,811,000",,"$8,000","$24,166,000",--,"$7,565,000","-$3,068,000","$30,271,000","$62,082,000"
80,56,lin,Linde plc Ordinary Shares (LIN),12/31/2022,,"$5,436,000",--,"$4,559,000","$1,978,000","$1,074,000","$13,047,000",,"$2,350,000","$23,548,000","$25,817,000","$12,420,000","$2,476,000",--,"$79,658,000",,"$3,608,000","$5,716,000","$7,155,000","$16,479,000","$12,198,000","$2,795,000","$6,799,000","$1,346,000","$13,000","$39,617,000",,"$1,000","$20,541,000","-$14,737,000","$40,005,000","-$5,782,000","$40,028,000","$79,658,000"
81,57,lin,Linde plc Ordinary Shares (LIN),12/31/2021,,"$2,823,000",--,"$4,499,000","$1,733,000","$1,104,000","$10,159,000",,"$2,619,000","$26,003,000","$27,038,000","$13,802,000","$1,984,000",--,"$81,605,000",,"$3,932,000","$2,872,000","$6,839,000","$13,643,000","$11,335,000","$4,188,000","$6,998,000","$1,393,000","$13,000","$37,557,000",,"$1,000","$18,710,000","-$9,808,000","$40,180,000","-$5,048,000","$44,035,000","$81,605,000"
82,58,lin,Linde plc Ordinary Shares (LIN),12/31/2020,,"$3,754,000",--,"$4,167,000","$1,729,000","$1,274,000","$10,924,000",,"$2,061,000","$28,711,000","$28,201,000","$16,184,000","$2,148,000",--,"$88,229,000",,"$3,637,000","$4,002,000","$6,101,000","$13,740,000","$12,152,000","$5,519,000","$7,236,000","$2,252,000","$13,000","$40,899,000",,"$1,000","$17,178,000","-$5,374,000","$40,202,000","-$4,690,000","$47,317,000","$88,229,000"
83,59,lin,Linde plc Ordinary Shares (LIN),12/31/2019,,"$2,700,000",--,"$4,322,000","$1,697,000","$1,633,000","$10,352,000",,"$2,027,000","$29,064,000","$27,019,000","$16,137,000","$2,013,000",--,"$86,612,000",,"$3,636,000","$3,263,000","$5,261,000","$12,160,000","$10,693,000","$4,888,000","$7,236,000","$2,448,000","$113,000","$37,425,000",,"$1,000","$16,842,000","-$3,156,000","$40,201,000","-$4,814,000","$49,074,000","$86,612,000"
84,60,ferg,Ferguson plc Ordinary Shares (FERG),7/31/2022,,"$771,000",--,"$3,610,000","$4,333,000","$837,000","$9,551,000",,--,"$2,576,000","$2,048,000","$782,000","$527,000","$177,000","$15,661,000",,"$3,607,000","$250,000","$1,942,000","$5,799,000","$3,679,000","$1,518,000",--,--,--,"$10,996,000",,"$30,000","$7,594,000","-$2,782,000","$760,000","-$937,000","$4,665,000","$15,661,000"
85,61,ferg,Ferguson plc Ordinary Shares (FERG),7/31/2021,,"$1,335,000",--,"$2,786,000","$3,273,000","$735,000","$8,129,000",,--,"$2,407,000","$1,828,000","$546,000","$559,000","$240,000","$13,709,000",,"$3,030,000",--,"$1,708,000","$4,738,000","$2,512,000","$1,456,000",--,--,--,"$8,706,000",,"$30,000","$6,054,000","-$931,000","$704,000","-$854,000","$5,003,000","$13,709,000"
86,62,ferg,Ferguson plc Ordinary Shares (FERG),7/31/2020,,"$2,137,000",--,"$3,042,000","$2,880,000","$29,000","$8,077,000",,"$405,000","$1,389,000","$1,721,000","$521,000","$1,127,000","$216,000","$13,456,000",,"$3,884,000","$531,000","$334,000","$4,749,000","$2,973,000","$1,337,000","$26,000",--,--,"$9,085,000",,"$30,000",--,--,"$9,000","$4,332,000","$4,371,000","$13,456,000"
87,63,ferg,Ferguson plc Ordinary Shares (FERG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,64,dlb,Dolby Laboratories Common Stock (DLB),9/30/2022,,"$628,371","$189,213","$243,593","$23,549","$226,168","$1,310,894",,"$102,514","$560,011","$365,147","$112,265","$55,149","$183,568","$2,689,548",,"$245,673",--,"$31,845","$277,518",--,"$161,010",--,"$4,837",--,"$443,365",,$94,"$2,297,730",--,--,"-$51,641","$2,246,183","$2,689,548"
89,65,dlb,Dolby Laboratories Common Stock (DLB),9/24/2021,,"$1,233,032","$38,839","$232,609","$10,965","$245,053","$1,760,498",,"$62,819","$601,509","$340,694","$122,890","$61,257","$156,020","$3,105,687",,"$281,841",--,"$33,876","$315,717",--,"$185,738",--,"$6,253",--,"$507,708",,$100,"$2,607,909",--,--,"-$10,030","$2,597,979","$3,105,687"
90,66,dlb,Dolby Laboratories Common Stock (DLB),9/25/2020,,"$1,079,979","$46,948","$180,340","$25,550","$214,379","$1,547,196",,"$52,149","$618,478","$336,945","$152,431","$91,245","$118,881","$2,917,325",,"$235,851",--,"$31,258","$267,109",--,"$211,811",--,"$5,762",--,"$484,682",,$99,"$2,443,138",--,--,"-$10,594","$2,432,643","$2,917,325"
91,67,dlb,Dolby Laboratories Common Stock (DLB),9/27/2019,,"$805,593","$119,146","$189,115","$32,331","$235,355","$1,381,540",,"$179,587","$537,432","$334,829","$180,891","$93,395","$114,075","$2,821,749",,"$286,862",--,"$19,991","$306,853",--,"$201,866",--,"$5,679",--,"$514,398",,$99,"$2,327,877",--,--,"-$20,625","$2,307,351","$2,821,749"
92,68,cae,CAE Inc. Ordinary Shares (CAE),3/31/2023,,"$178,600",--,"$490,600","$431,100","$560,100","$1,651,500",,"$436,700","$2,079,200",--,"$2,993,200","$458,600","$92,400","$7,711,600",,"$781,600","$189,600","$689,000","$1,660,100","$2,247,800","$249,500","$163,400","$60,000",--,"$4,380,800",,"$1,657,800","$1,518,300",--,"$31,100","$123,500","$3,330,800","$7,711,600"
93,69,cae,CAE Inc. Ordinary Shares (CAE),3/31/2022,,"$321,300",--,"$472,400","$416,200","$532,400","$1,720,200",,"$371,900","$2,003,300",--,"$3,039,300","$440,100","$94,000","$7,668,900",,"$798,900","$214,900","$660,500","$1,674,200","$2,246,000","$314,000","$162,800","$61,600",--,"$4,458,700",,"$1,781,100","$1,423,200",--,"$30,900","-$25,000","$3,210,200","$7,668,900"
94,70,cae,CAE Inc. Ordinary Shares (CAE),3/31/2021,,"$1,345,100",--,"$444,300","$515,400","$409,000","$2,688,100",,"$346,400","$1,812,400",--,"$1,635,700","$394,500","$83,500","$6,960,600",,"$765,300","$183,100","$1,146,800","$2,095,200","$1,701,400","$332,800","$275,100","$57,500",--,"$4,461,800",,"$1,206,300","$1,228,200",--,"$17,900","$46,200","$2,498,700","$6,960,600"
95,71,cae,CAE Inc. Ordinary Shares (CAE),3/31/2020,,"$700,200",--,"$419,100","$432,900","$438,700","$1,973,200",,"$332,800","$1,791,400",--,"$1,444,800","$358,600","$59,400","$5,960,300",,"$675,000","$229,100","$544,800","$1,448,900","$2,191,200","$253,500","$255,300","$62,200",--,"$4,211,100",,"$477,400","$1,117,200",--,"$18,900","$135,700","$1,749,200","$5,960,300"
96,72,pld,"Prologis, Inc. Common Stock (PLD)",12/31/2022,,"$278,483",--,--,--,--,--,,"$9,698,898","$72,587,311",--,--,"$4,801,499",--,"$87,897,448",,"$1,711,885",--,--,--,"$23,875,961","$4,446,509",--,"$4,625,811",--,"$34,660,166",,"$9,231","-$457,695",--,"$54,065,407","-$443,609","$53,237,282","$87,897,448"
97,73,pld,"Prologis, Inc. Common Stock (PLD)",12/31/2021,,"$556,117",--,--,--,--,--,,"$8,610,958","$45,337,003",--,--,"$3,312,454",--,"$58,486,220",,"$1,252,767",--,--,--,"$17,715,054","$1,776,189",--,"$4,315,337",--,"$25,059,347",,"$7,398","-$1,327,828",--,"$35,561,608","-$878,253","$33,426,873","$58,486,220"
98,74,pld,"Prologis, Inc. Common Stock (PLD)",12/31/2020,,"$598,086",--,--,--,--,--,,"$7,602,014","$43,845,172",--,--,"$2,949,009",--,"$56,065,005",,"$1,143,372",--,--,--,"$16,849,076","$1,747,977",--,"$4,353,033",--,"$24,093,458",,"$7,394","-$2,394,690",--,"$35,488,634","-$1,193,739","$31,971,547","$56,065,005"
99,75,pld,"Prologis, Inc. Common Stock (PLD)",12/31/2019,,"$1,088,855",--,--,--,--,--,,"$6,237,371","$29,786,752",--,--,"$2,198,187",--,"$40,031,850",,"$704,954",--,--,--,"$11,905,877","$1,349,235",--,"$3,418,657",--,"$17,378,723",,"$6,318","-$2,151,168",--,"$25,719,427","-$990,398","$22,653,127","$40,031,850"
100,76,amt,American Tower Corporation (REIT) Common Stock (AMT),12/31/2022,,"$2,140,700",--,"$758,300",--,"$723,300","$3,622,300",,"$546,700","$28,917,200","$12,956,700","$17,983,300",--,"$3,168,300","$67,194,500",,"$2,569,100","$4,514,200","$1,228,600","$8,311,900","$34,156,000","$10,826,100","$1,492,000","$6,836,100",--,"$61,622,100",,"$4,800","-$2,101,900","-$1,301,200","$14,689,000","-$5,718,300","$5,572,400","$67,194,500"
101,77,amt,American Tower Corporation (REIT) Common Stock (AMT),12/31/2021,,"$2,343,300",--,"$728,900",--,"$657,200","$3,729,400",,"$400,900","$29,009,100","$13,350,100","$20,727,200",--,"$2,671,200","$69,887,900",,"$2,582,000","$4,568,700","$1,916,600","$9,067,300","$38,685,500","$11,234,600","$1,830,900","$3,988,400",--,"$64,806,700",,"$4,700","-$1,142,400","-$1,282,400","$12,240,200","-$4,738,900","$5,081,200","$69,887,900"
102,78,amt,American Tower Corporation (REIT) Common Stock (AMT),12/31/2020,,"$1,861,400",--,"$511,600",--,"$532,600","$2,905,600",,"$400,100","$20,597,900","$7,282,700","$13,839,800",--,"$2,207,400","$47,233,500",,"$1,935,200","$789,800","$930,500","$3,655,500","$28,497,700","$9,440,300","$859,500","$474,900","$212,100","$42,927,900",,"$4,600","-$1,343,000","-$1,282,400","$10,473,700","-$3,759,400","$4,093,500","$47,233,500"
103,79,amt,American Tower Corporation (REIT) Common Stock (AMT),12/31/2019,,"$1,578,000",--,"$462,200",--,"$513,600","$2,553,800",,"$406,400","$19,441,800","$6,178,300","$12,318,400",--,"$1,902,900","$42,801,600",,"$1,770,700","$2,928,200","$788,800","$5,487,700","$21,127,200","$8,831,500","$768,300","$435,000","$1,096,500","$36,649,700",,"$4,500","-$1,016,800","-$1,226,400","$10,117,700","-$2,823,600","$5,055,400","$42,801,600"
104,0,eqix,"Equinix, Inc. Common Stock REIT (EQIX)",12/31/2022,,"$1,906,421",--,"$855,380",--,"$543,454","$3,305,255",,--,"$18,077,484","$5,654,217","$1,897,649","$1,376,137",--,"$30,310,742",,"$1,286,147","$161,267","$390,884","$1,838,298","$14,895,937","$2,070,675",--,-$134,--,"$18,804,776",,$93,"-$4,352,732","-$71,966","$17,320,017","-$1,389,446","$11,505,966","$30,310,742"
105,1,eqix,"Equinix, Inc. Common Stock REIT (EQIX)",12/31/2021,,"$1,536,358",--,"$681,809",--,"$738,934","$2,957,101",,--,"$16,728,193","$5,372,071","$1,935,267","$926,066",--,"$27,918,698",,"$1,066,478","$180,928","$358,548","$1,605,954","$13,560,389","$1,870,591",--,-$318,--,"$17,036,616",,$91,"-$3,904,647","-$112,208","$15,984,597","-$1,085,751","$10,882,082","$27,918,698"
106,2,eqix,"Equinix, Inc. Common Stock REIT (EQIX)",12/31/2020,,"$1,604,869","$4,532","$676,738",--,"$323,016","$2,609,155",,--,"$15,978,141","$5,472,553","$2,170,945","$776,047",--,"$27,006,841",,"$1,146,017","$219,972","$658,761","$2,024,750","$12,090,347","$2,257,626",--,$130,--,"$16,372,853",,$89,"-$3,358,972","-$122,118","$15,028,357","-$913,368","$10,633,988","$27,006,841"
107,3,eqix,"Equinix, Inc. Common Stock REIT (EQIX)",12/31/2019,,"$1,869,577","$10,362","$689,134",--,"$303,543","$2,872,616",,--,"$13,627,964","$4,781,858","$2,102,389","$580,788",--,"$23,965,615",,"$1,062,253","$152,842","$942,768","$2,157,863","$11,029,989","$1,937,381",--,-$224,--,"$15,125,009",,$86,"-$2,777,044","-$144,256","$12,696,433","-$934,613","$8,840,606","$23,965,615"
108,4,aapl,Apple Inc. Common Stock (AAPL),9/24/2022,,"$23,646,000","$24,658,000","$60,932,000","$4,946,000","$21,223,000","$135,405,000",,"$120,805,000","$42,117,000",--,--,"$54,428,000",--,"$352,755,000",,"$64,115,000","$21,110,000","$68,757,000","$153,982,000","$98,959,000","$49,142,000",--,--,--,"$302,083,000",,"$64,849,000","-$3,068,000",--,--,"-$11,109,000","$50,672,000","$352,755,000"
109,5,aapl,Apple Inc. Common Stock (AAPL),9/25/2021,,"$34,940,000","$27,699,000","$51,506,000","$6,580,000","$14,111,000","$134,836,000",,"$127,877,000","$39,440,000",--,--,"$48,849,000",--,"$351,002,000",,"$54,763,000","$15,613,000","$55,105,000","$125,481,000","$109,106,000","$53,325,000",--,--,--,"$287,912,000",,"$57,365,000","$5,562,000",--,--,"$163,000","$63,090,000","$351,002,000"
110,6,aapl,Apple Inc. Common Stock (AAPL),9/26/2020,,"$38,016,000","$52,927,000","$37,445,000","$4,061,000","$11,264,000","$143,713,000",,"$100,887,000","$36,766,000",--,--,"$42,522,000",--,"$323,888,000",,"$42,296,000","$13,769,000","$49,327,000","$105,392,000","$98,667,000","$54,490,000",--,--,--,"$258,549,000",,"$50,779,000","$14,966,000",--,--,"-$406,000","$65,339,000","$323,888,000"
111,7,aapl,Apple Inc. Common Stock (AAPL),9/28/2019,,"$48,844,000","$51,713,000","$45,804,000","$4,106,000","$12,352,000","$162,819,000",,"$105,341,000","$37,378,000",--,--,"$32,978,000",--,"$338,516,000",,"$46,236,000","$16,240,000","$43,242,000","$105,718,000","$91,807,000","$50,503,000",--,--,--,"$248,028,000",,"$45,174,000","$45,898,000",--,--,"-$584,000","$90,488,000","$338,516,000"
112,8,msft,Microsoft Corporation Common Stock (MSFT),6/30/2023,,"$34,704,000","$76,558,000","$48,688,000","$2,500,000","$21,807,000","$184,257,000",,"$9,879,000","$109,987,000","$67,886,000","$9,366,000","$30,601,000",--,"$411,976,000",,"$33,256,000","$5,247,000","$65,646,000","$104,149,000","$41,990,000","$56,269,000","$3,345,000",--,--,"$205,753,000",,"$93,718,000","$118,848,000",--,--,"-$6,343,000","$206,223,000","$411,976,000"
113,9,msft,Microsoft Corporation Common Stock (MSFT),6/30/2022,,"$13,931,000","$90,826,000","$44,261,000","$3,742,000","$16,924,000","$169,684,000",,"$6,891,000","$87,546,000","$67,524,000","$11,298,000","$21,897,000",--,"$364,840,000",,"$33,728,000","$2,749,000","$58,605,000","$95,082,000","$47,032,000","$53,084,000","$3,100,000",--,--,"$198,298,000",,"$86,939,000","$84,281,000",--,--,"-$4,678,000","$166,542,000","$364,840,000"
114,10,msft,Microsoft Corporation Common Stock (MSFT),6/30/2021,,"$14,224,000","$116,110,000","$38,043,000","$2,636,000","$13,393,000","$184,406,000",,"$5,984,000","$70,803,000","$49,711,000","$7,800,000","$15,075,000",--,"$333,779,000",,"$27,394,000","$8,072,000","$53,191,000","$88,657,000","$50,074,000","$50,246,000","$2,814,000",--,--,"$191,791,000",,"$83,111,000","$57,055,000",--,--,"$1,822,000","$141,988,000","$333,779,000"
115,11,msft,Microsoft Corporation Common Stock (MSFT),6/30/2020,,"$13,576,000","$122,951,000","$32,011,000","$1,895,000","$11,482,000","$181,915,000",,"$2,965,000","$52,904,000","$43,351,000","$7,038,000","$13,138,000",--,"$301,311,000",,"$22,534,000","$3,749,000","$46,027,000","$72,310,000","$59,578,000","$47,735,000","$3,384,000",--,--,"$183,007,000",,"$80,552,000","$34,566,000",--,--,"$3,186,000","$118,304,000","$301,311,000"
116,12,goog,Alphabet Inc. Class C Capital Stock (GOOG),12/31/2022,,"$21,879,000","$91,883,000","$40,258,000","$2,670,000","$8,105,000","$164,795,000",,"$30,492,000","$127,049,000","$28,960,000","$2,084,000","$6,623,000","$5,261,000","$365,264,000",,"$65,392,000",--,"$3,908,000","$69,300,000","$14,701,000","$24,006,000","$1,113,000",--,--,"$109,120,000",,"$68,184,000","$195,563,000",--,--,"-$7,603,000","$256,144,000","$365,264,000"
117,13,goog,Alphabet Inc. Class C Capital Stock (GOOG),12/31/2021,,"$20,945,000","$118,704,000","$39,304,000","$1,170,000","$8,020,000","$188,143,000",,"$29,549,000","$110,558,000","$22,956,000","$1,417,000","$5,361,000","$1,284,000","$359,268,000",,"$60,966,000",--,"$3,288,000","$64,254,000","$14,817,000","$22,770,000","$5,792,000",--,--,"$107,633,000",,"$61,774,000","$191,484,000",--,--,"-$1,623,000","$251,635,000","$359,268,000"
