,Unnamed: 0,Symbol,Name,Date,Current Assets,Cash and Cash Equivalents,Short-Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long-Term Assets,Long-Term Investments,Fixed Assets,Goodwill,Intangible Assets,Other Assets,Deferred Asset Charges,Total Assets,Current Liabilities,Accounts Payable,Short-Term Debt / Current Portion of Long-Term Debt,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Other Liabilities,Deferred Liability Charges,Misc. Stocks,Minority Interest,Total Liabilities,Stock Holders Equity,Common Stocks,Capital Surplus,Retained Earnings,Treasury Stock,Other Equity,Total Equity,Total Liabilities & Equity
11,11,vale,VALE S.A. American Depositary Shares Each Representing one common share (VALE),12/31/2019,,"$7,350,000","$826,000","$3,451,000","$4,274,000","$1,141,000","$17,042,000",,"$2,798,000","$46,576,000",--,"$8,499,000","$7,581,000","$9,217,000","$91,713,000",,"$6,695,000","$1,439,000","$5,711,000","$13,845,000","$15,992,000","$21,001,000","$1,882,000","-$1,074,000",--,"$51,646,000",,--,--,--,--,--,"$40,067,000","$91,713,000"
12,12,amzn,"Amazon.com, Inc. Common Stock (AMZN)",12/31/2022,,"$53,888,000","$16,138,000","$42,360,000","$34,405,000",--,"$146,791,000",,--,"$252,838,000","$20,288,000",--,"$42,758,000",--,"$462,675,000",,"$142,166,000",--,"$13,227,000","$155,393,000","$67,150,000","$94,089,000",--,--,--,"$316,632,000",,"$108,000","$83,193,000","-$7,837,000","$75,066,000","-$4,487,000","$146,043,000","$462,675,000"
13,13,amzn,"Amazon.com, Inc. Common Stock (AMZN)",12/31/2021,,"$36,220,000","$59,829,000","$32,891,000","$32,640,000",--,"$161,580,000",,--,"$216,363,000","$15,371,000",--,"$27,235,000",--,"$420,549,000",,"$130,439,000",--,"$11,827,000","$142,266,000","$48,744,000","$91,294,000",--,--,--,"$282,304,000",,"$106,000","$85,915,000","-$1,837,000","$55,437,000","-$1,376,000","$138,245,000","$420,549,000"
14,14,amzn,"Amazon.com, Inc. Common Stock (AMZN)",12/31/2020,,"$42,122,000","$42,274,000","$24,542,000","$23,795,000",--,"$132,733,000",,--,"$150,667,000","$15,017,000",--,"$22,778,000",--,"$321,195,000",,"$116,677,000",--,"$9,708,000","$126,385,000","$31,816,000","$69,590,000",--,--,--,"$227,791,000",,"$5,000","$52,551,000","-$1,837,000","$42,865,000","-$180,000","$93,404,000","$321,195,000"
15,15,amzn,"Amazon.com, Inc. Common Stock (AMZN)",12/31/2019,,"$36,092,000","$18,929,000","$20,816,000","$20,497,000",--,"$96,334,000",,--,"$97,846,000","$14,754,000",--,"$16,314,000",--,"$225,248,000",,"$79,622,000",--,"$8,190,000","$87,812,000","$23,414,000","$51,962,000",--,--,--,"$163,188,000",,"$5,000","$31,220,000","-$1,837,000","$33,658,000","-$986,000","$62,060,000","$225,248,000"
16,16,tsla,"Tesla, Inc. Common Stock (TSLA)",12/31/2022,,"$16,253,000","$5,932,000","$2,952,000","$12,839,000","$2,941,000","$40,917,000",,--,"$31,146,000","$194,000","$215,000","$9,866,000",--,"$82,338,000",,"$22,397,000","$1,502,000","$2,810,000","$26,709,000","$1,597,000","$5,330,000","$2,804,000","$785,000","$409,000","$37,225,000",,"$3,000","$12,885,000",--,"$32,177,000","-$361,000","$44,704,000","$82,338,000"
17,17,tsla,"Tesla, Inc. Common Stock (TSLA)",12/31/2021,,"$17,576,000","$131,000","$1,913,000","$5,757,000","$1,723,000","$27,100,000",,--,"$25,411,000","$200,000","$257,000","$9,163,000",--,"$62,131,000",,"$15,744,000","$1,589,000","$2,372,000","$19,705,000","$5,245,000","$3,546,000","$2,052,000","$826,000","$568,000","$31,374,000",,"$3,000","$329,000",--,"$29,803,000","$54,000","$30,189,000","$62,131,000"
18,18,tsla,"Tesla, Inc. Common Stock (TSLA)",12/31/2020,,"$19,384,000",--,"$1,886,000","$4,101,000","$1,346,000","$26,717,000",,--,"$17,396,000","$207,000","$313,000","$7,515,000",--,"$52,148,000",,"$9,906,000","$2,132,000","$2,210,000","$14,248,000","$9,556,000","$3,330,000","$1,284,000","$850,000","$655,000","$29,268,000",,"$1,000","-$5,399,000",--,"$27,260,000","$363,000","$22,225,000","$52,148,000"
19,19,tsla,"Tesla, Inc. Common Stock (TSLA)",12/31/2019,,"$6,268,000",--,"$1,324,000","$3,552,000","$959,000","$12,103,000",,--,"$14,061,000","$198,000","$339,000","$7,608,000",--,"$34,309,000",,"$6,993,000","$1,785,000","$1,889,000","$10,667,000","$11,634,000","$2,691,000","$1,207,000","$849,000","$643,000","$27,048,000",,"$1,000","-$6,083,000",--,"$12,736,000","-$36,000","$6,618,000","$34,309,000"
20,20,v,Visa Inc. (V),9/30/2022,,"$17,138,000","$2,833,000","$3,952,000",--,"$6,282,000","$30,205,000",,"$2,136,000","$3,223,000","$17,787,000","$25,065,000","$7,085,000",--,"$85,501,000",,"$7,767,000","$5,531,000","$7,555,000","$20,853,000","$20,200,000","$3,535,000","$5,332,000",--,--,"$49,920,000",,"$19,545,000","$16,116,000",--,--,"-$2,404,000","$35,581,000","$85,501,000"
